budget,genre,keyword,original_language,production,release_date,country,runtime,revenue,status,title,vote_average,vote_count
237000000,Action,culture clash,en,Ingenious Film Partners,10-12-09,US,162,2787965087,Released,Avatar,7.2,11800
300000000,Adventure,ocean,en,Walt Disney Pictures,19-05-07,US,169,961000000,Released,Pirates of the Caribbean: At World's End,6.9,4500
245000000,Action,spy,en,Columbia Pictures,26-10-15,GB,148,880674609,Released,Spectre,6.3,4466
250000000,Action,dc comics,en,Legendary Pictures,16-07-12,US,165,1084939099,Released,The Dark Knight Rises,7.6,9106
260000000,Action,based on novel,en,Walt Disney Pictures,07-03-12,US,132,284139100,Released,John Carter,6.1,2124
258000000,Fantasy,dual identity,en,Columbia Pictures,01-05-07,US,139,890871626,Released,Spider-Man 3,5.9,3576
260000000,Animation,hostage,en,Walt Disney Pictures,24-11-10,US,100,591794936,Released,Tangled,7.4,3330
280000000,Action,marvel comic,en,Marvel Studios,22-04-15,US,141,1405403694,Released,Avengers: Age of Ultron,7.3,6767
250000000,Adventure,witch,en,Warner Bros.,07-07-09,GB,153,933959197,Released,Harry Potter and the Half-Blood Prince,7.4,5293
250000000,Action,dc comics,en,DC Comics,23-03-16,US,151,873260194,Released,Batman v Superman: Dawn of Justice,5.7,7004
270000000,Adventure,saving the world,en,DC Comics,28-06-06,US,154,391081192,Released,Superman Returns,5.4,1400
200000000,Adventure,killing,en,Eon Productions,30-10-08,GB,106,586090727,Released,Quantum of Solace,6.1,2965
200000000,Adventure,witch,en,Walt Disney Pictures,20-06-06,JM,151,1065659812,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246
255000000,Action,texas,en,Walt Disney Pictures,03-07-13,US,149,89289910,Released,The Lone Ranger,5.9,2311
225000000,Action,saving the world,en,Legendary Pictures,12-06-13,GB,143,662845518,Released,Man of Steel,6.5,6359
225000000,Adventure,based on novel,en,Walt Disney,15-05-08,CZ,150,419651413,Released,The Chronicles of Narnia: Prince Caspian,6.3,1630
220000000,Science Fiction,new york,en,Paramount Pictures,25-04-12,US,143,1519557910,Released,The Avengers,7.4,11776
380000000,Adventure,sea,en,Walt Disney Pictures,14-05-11,US,136,1045713802,Released,Pirates of the Caribbean: On Stranger Tides,6.4,4948
225000000,Action,time travel,en,Amblin Entertainment,23-05-12,US,106,624026776,Released,Men in Black 3,6.2,4160
250000000,Action,corruption,en,WingNut Films,10-12-14,NZ,144,956019788,Released,The Hobbit: The Battle of the Five Armies,7.1,4760
215000000,Action,loss of father,en,Columbia Pictures,27-06-12,US,136,752215857,Released,The Amazing Spider-Man,6.5,6586
200000000,Action,robin hood,en,Imagine Entertainment,12-05-10,GB,140,310669540,Released,Robin Hood,6.2,1398
250000000,Adventure,elves,en,WingNut Films,11-12-13,NZ,161,958400000,Released,The Hobbit: The Desolation of Smaug,7.6,4524
180000000,Adventure,england,en,New Line Cinema,04-12-07,GB,113,372234864,Released,The Golden Compass,5.8,1303
207000000,Adventure,film business,en,WingNut Films,14-12-05,NZ,187,550000000,Released,King Kong,6.6,2337
200000000,Drama,shipwreck,en,Paramount Pictures,18-11-97,US,194,1845034188,Released,Titanic,7.5,7562
250000000,Adventure,civil war,en,Studio Babelsberg,27-04-16,US,147,1153304495,Released,Captain America: Civil War,7.1,7241
209000000,Thriller,fight,en,Universal Pictures,11-04-12,US,131,303025485,Released,Battleship,5.5,2114
150000000,Action,monster,en,Universal Studios,09-06-15,US,124,1513528810,Released,Jurassic World,6.5,8662
200000000,Action,spy,en,Columbia Pictures,25-10-12,GB,143,1108561013,Released,Skyfall,6.9,7604
200000000,Action,dual identity,en,Columbia Pictures,25-06-04,US,127,783766341,Released,Spider-Man 2,6.7,4321
200000000,Action,terrorist,en,Marvel Studios,18-04-13,CN,130,1215439994,Released,Iron Man 3,6.8,8806
200000000,Family,based on novel,en,Walt Disney Pictures,03-03-10,US,108,1025491110,Released,Alice in Wonderland,6.4,4645
210000000,Adventure,mutant,en,Ingenious Film Partners,24-05-06,CA,104,459359555,Released,X-Men: The Last Stand,6.3,3525
200000000,Animation,monster,en,Walt Disney Pictures,20-06-13,US,104,743559607,Released,Monsters University,7,3528
150000000,Science Fiction,egypt,en,Paramount Pictures,19-06-09,US,150,836297228,Released,Transformers: Revenge of the Fallen,6,3138
210000000,Science Fiction,sequel,en,Paramount Pictures,25-06-14,US,165,1091405097,Released,Transformers: Age of Extinction,5.8,3095
200000000,Fantasy,circus,en,Walt Disney Pictures,07-03-13,US,130,491868548,Released,Oz: The Great and Powerful,5.7,3530
200000000,Action,obsession,en,Columbia Pictures,16-04-14,US,142,705717432,Released,The Amazing Spider-Man 2,6.5,4179
170000000,Adventure,artificial intelligence,en,Walt Disney Pictures,10-12-10,US,125,400062763,Released,TRON: Legacy,6.3,2841
200000000,Animation,car race,en,Walt Disney Pictures,11-06-11,US,106,559852396,Released,Cars 2,5.8,2033
200000000,Adventure,dc comics,en,De Line Pictures,16-06-11,US,114,219851172,Released,Green Lantern,5.1,2487
200000000,Animation,hostage,en,Walt Disney Pictures,16-06-10,US,103,1066969703,Released,Toy Story 3,7.6,4597
200000000,Action,saving the world,en,Columbia Pictures,20-05-09,DE,115,371353001,Released,Terminator Salvation,5.9,2463
190000000,Action,car race,en,Universal Pictures,01-04-15,JP,137,1506249360,Released,Furious 7,7.3,4176
200000000,Action,dystopia,en,Paramount Pictures,20-06-13,US,116,531865000,Released,World War Z,6.7,5560
250000000,Action,1970s,en,Twentieth Century Fox Film Corporation,15-05-14,GB,131,747862775,Released,X-Men: Days of Future Past,7.5,6032
190000000,Action,spacecraft,en,Paramount Pictures,05-05-13,US,132,467365246,Released,Star Trek Into Darkness,7.4,4418
195000000,Action,based on fairy tale,en,New Line Cinema,27-02-13,US,114,197687603,Released,Jack the Giant Slayer,5.5,2598
105000000,Drama,based on novel,en,Village Roadshow Pictures,10-05-13,US,143,351040419,Released,The Great Gatsby,7.3,3769
150000000,Adventure,persia,en,Walt Disney Pictures,19-05-10,US,116,335154643,Released,Prince of Persia: The Sands of Time,6.2,2317
180000000,Action,dystopia,en,Legendary Pictures,11-07-13,US,131,407602906,Released,Pacific Rim,6.7,4794
195000000,Action,moon,en,Paramount Pictures,28-06-11,US,154,1123746996,Released,Transformers: Dark of the Moon,6.1,3299
